,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
130,1291,1,0.0009213896823635901,0.11117673626793594,0.0,2,11,0.2,"Yalcin, M.A.",incoming
266,93,1,0.00017456709284318446,0.1108162744087995,0.0,2,11,0.2,"Bertini, E.",
267,326,1,0.00017456709284318446,0.1108162744087995,0.0,2,11,0.2,"Felix, C.",incoming
385,76,1,0.0009213896823635903,0.11117673626793594,0.0,2,11,0.2,"Batch, A.",incoming
386,878,1,0.0009213896823635903,0.11117673626793594,0.0,2,11,0.2,"Patnaik, B.",incoming
401,559,1,0.0010959567752067748,0.11502516175413371,0.0,3,11,0.2,"Jardine, N.",incoming
402,854,1,0.0010959567752067748,0.11502516175413371,0.0,3,11,0.2,"Ondov, B.",incoming
57,209,1,0.0001029482503353947,0.10786850155482332,0.0,4,11,0.2,"Cohe, A.",incoming
58,300,3,0.0001029482503353947,0.10786850155482332,0.0,4,11,0.2,"Eagan, J.",incoming
59,678,3,0.0001029482503353947,0.10786850155482332,0.0,4,11,0.2,"Lecolinet, E.",incoming
60,722,1,0.0001029482503353947,0.10786850155482332,0.0,4,11,0.2,"Liutkus, B.",incoming
162,269,1,0.003180613626816318,0.13509448698396279,0.006054998207287735,4,11,0.2,"Dimara, E.",incoming
347,631,1,0.0019736749375031306,0.11128015648772005,0.0,4,11,0.2,"Klokmose, C.N.",incoming
348,761,1,0.0019736749375031306,0.11128015648772005,0.0,4,11,0.2,"Mathisen, A.",incoming
349,992,1,0.0019736749375031306,0.11128015648772005,0.0,4,11,0.2,"RÃ¤dle, R.",incoming
346,53,1,0.008880748221462122,0.1255917776633061,0.003981108300528729,5,11,0.2,"Badam, S.K.",incoming
56,57,1,0.0008560241621708989,0.1257898719498413,0.013832651185186806,7,11,0.2,"Bailly, G.",incoming
268,357,1,0.0018006759726837524,0.12995781447506688,0.018046621587675133,8,11,0.2,"Franconeri, S.",
129,308,1,0.009504222751450334,0.1304538366677198,0.026988757356303263,12,11,0.2,"Elmqvist, N.",
64,280,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Dork, M.",
65,813,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Muller, B.",incoming
66,1096,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Stahnke, J.",incoming
67,1157,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Thom, A.",incoming
71,134,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Breeuwer, M.",incoming
72,305,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Eisemann, E.",incoming
73,306,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Eisemann, M.",incoming
74,931,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Raidou, R.G.",incoming
325,534,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"HÃ¶llt, T.",incoming
326,644,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Koning, F.",incoming
327,690,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Lelieveldt, B.P.F.",incoming
328,898,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Pezzotti, N.",incoming
329,1335,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"van Unen, V.",incoming
75,1198,1,4.318245692450245e-28,0.02102803738317757,0.00021887106305675327,9,13,0.5555555555555556,"Vilanova, A.",incoming
76,685,1,5.419852344857953e-75,0.002336448598130841,0.0,1,14,1.0,"Lehmann, D.J.",
77,1154,1,5.419852344857953e-75,0.002336448598130841,0.0,1,14,1.0,"Theisel, H.",
78,18,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Albo, Y.",incoming
79,59,3,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Bak, P.",incoming
80,671,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Lanir, J.",incoming
81,930,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Rafaeli, S.",incoming
417,946,1,0.0008084985486281806,0.13950573553854118,0.0,2,16,0.2549019607843137,"Ren, D.",
84,826,1,0.00011638083504386769,0.1347141534057422,0.0,3,16,0.2549019607843137,"Ng, J.",incoming
85,1144,1,0.00011638083504386769,0.1347141534057422,0.0,3,16,0.2549019607843137,"Tate, K.",incoming
344,195,1,0.0009419057866338052,0.1395871274495905,0.0,3,16,0.2549019607843137,"Choe, E.K.",incoming
414,403,1,0.00046085537876272526,0.12409353550238492,0.0,3,16,0.2549019607843137,"Gogolou, A.",incoming
415,866,1,0.00046085537876272526,0.12409353550238492,0.0,3,16,0.2549019607843137,"Palpanas, T.",incoming
416,1174,1,0.00046085537876272526,0.12409353550238492,0.0,3,16,0.2549019607843137,"Tsandilas, T.",incoming
236,31,1,0.007191973052538316,0.15455577289961117,0.0,4,16,0.2549019607843137,"Amini, F.",incoming
237,542,3,0.007191973052538316,0.15455577289961117,0.0,4,16,0.2549019607843137,"Irani, P.P.",incoming
239,800,1,0.007191973052538316,0.15455577289961117,0.0,4,16,0.2549019607843137,"Monroy-Hernandez, A.",incoming
394,94,1,0.0013486194043092717,0.1379771259795837,0.0,4,16,0.2549019607843137,"BesanÃ§on, L.",incoming
395,106,1,0.0013486194043092717,0.1379771259795837,0.0,4,16,0.2549019607843137,"Blascheck, T.",incoming
83,816,0,0.00016094405385800188,0.147777848331438,0.01928020157228354,5,16,0.2549019607843137,"Munzner, T.",
345,544,1,0.0015095142331885826,0.14482586952094317,0.007088337136051026,6,16,0.2549019607843137,"Isenberg, P.",
82,135,1,0.0010395267957849978,0.1497198601055057,0.019854360299662963,7,16,0.2549019607843137,"Brehmer, M.",
161,96,1,0.0042929096827705356,0.14851169239515713,0.044306226161076115,11,16,0.2549019607843137,"Bezerianos, A.",
238,680,1,0.008108701819567559,0.16198533273432508,0.04070828132259437,11,16,0.2549019607843137,"Lee, B.",
160,492,1,0.05888513942729793,0.18809145947216832,0.060621206191543854,12,16,0.2549019607843137,"Henry Riche, N.",
201,253,1,1.761792404167567e-13,0.017523364485981307,0.0,3,17,0.45,"Deng, C.",incoming
202,329,1,1.761792404167567e-13,0.017523364485981307,0.0,3,17,0.45,"Feng, M.",incoming
418,807,1,1.1324640094920586e-13,0.01812761843377377,0.0,3,17,0.45,"Mosca, A.",incoming
419,990,1,1.1324640094920586e-13,0.01812761843377377,0.0,3,17,0.45,"Ryan, G.",incoming
420,1276,1,1.1324640094920586e-13,0.01812761843377377,0.0,3,17,0.45,"Wu, E.",incoming
180,445,1,4.4155388654917623e-13,0.021904205607476634,0.0,6,17,0.45,"Gutheil, C.",incoming
181,454,1,4.4155388654917623e-13,0.021904205607476634,0.0,6,17,0.45,"Hakone, A.",incoming
182,1257,1,4.4155388654917623e-13,0.021904205607476634,0.0,6,17,0.45,"Winters, N.",incoming
86,8,1,5.323084344204967e-13,0.022856562373019095,0.0,7,17,0.45,"Afergan, D.",incoming
92,1147,1,5.323084344204967e-13,0.022856562373019095,0.0,7,17,0.45,"Taylor, H.A.",incoming
93,1326,1,5.323084344204967e-13,0.022856562373019095,0.0,7,17,0.45,"Ziemkiewicz, C.",
91,883,1,5.702634564196638e-13,0.025033377837116153,9.849197837553898e-05,9,17,0.45,"Peck, E.",incoming
88,459,1,6.749971028312652e-13,0.02628504672897196,3.2830659458512994e-05,10,17,0.45,"Han, P.K.J.",incoming
90,856,1,6.74997102831265e-13,0.02628504672897196,3.2830659458512994e-05,10,17,0.45,"Ottley, A.",incoming
89,470,1,7.129521248304325e-13,0.029205607476635514,0.00019698395675107796,12,17,0.45,"Harrison, L.",
87,176,1,7.115928132213141e-13,0.030923584387025835,0.0004267985729606689,13,17,0.45,"Chang, R.",
245,621,1,8.239241034788331e-07,0.10290423073057983,0.0,2,18,0.6428571428571429,"Kim, S.-H.",
246,658,1,8.239241034788331e-07,0.10290423073057983,0.0,2,18,0.6428571428571429,"Kwon, B.C.",incoming
94,531,1,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Hung, Y.",incoming
95,593,3,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Kang, Y.",incoming
96,620,3,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Kim, S.",incoming
99,1302,1,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Yi, J.S.",
97,666,3,6.103954190622006e-05,0.14106859460412627,0.02397732495786732,7,18,0.6428571428571429,"Lam, H.",incoming
98,682,1,8.497791910846907e-06,0.11920893694499159,0.006960099805204754,7,18,0.6428571428571429,"Lee, S.",incoming
110,354,1,5.419852344857953e-75,0.002336448598130841,0.0,1,19,1.0,"Forsell, C.",
111,571,1,5.419852344857953e-75,0.002336448598130841,0.0,1,19,1.0,"Johansson, J.",
352,185,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Chen, W.",
353,442,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Guo, F.",incoming
354,458,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Han, D.",incoming
355,832,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Nie, X.",incoming
356,867,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Pan, J.",incoming
357,1284,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Xia, J.",incoming
