Ramos, G.: 932
Ranwez, S.: 933
Rao, R.: 934
Raphael, B.J.: 935
Raya, L.: 936
Rayson, J.K.: 937
Redstrom, J.: 938
Reichenberger, K.: 939
Reiling, S.: 940
Reimer, A.: 941
Reinecke, K.: 942
Reinhardt, T.: 943
Reiss, S.P.: 944
Reiterer, H.: 945
Ren, D.: 946
Ren, L.: 947
Rensink, R.A.: 948
Reppa, I.: 949
Rexroad, B.: 950
Rheingans, P.: 951
Rhyne, T.M.: 952
Ribarsky, W.: 953
Ribler, R.: 954
Riedl, J.: 955
Riehmann, P.: 956
Riesenfeld, R.: 957
Ritsos, P.D.: 958
Ritz, A.M.: 959
Roberts, J.C.: 960
Robertson, E.L.: 961
Robertson, G.: 962
Rocca-Serra, P.: 963
Rodden, K.: 964
Rodgers, J.: 965
Rodrigues, N.: 966
Rogowitz, B.: 967
Rohrdantz, C.: 968
Rohrer, R.M.: 969
Romero, M.: 970
Rooney, C.: 971
Rosario, G.E.: 972
Rose, S.: 973
Roseman, D.: 974
Rosenblum, M.: 975
Ross, G.: 976
Roth, R.E.: 977
Roth, S.F.: 978
Rubab, S.: 979
Rubio-Sanchez, M.: 980
Ruble, S.: 981
Ruddle, R.A.: 982
Rufiange, S.: 983
Ruh, W.: 984
Rundensteiner, E.A.: 985
Rush, A.M.: 986
Rushall, D.A.: 987
Russell, R.: 988
Russo dos Santos, C.: 989
Ryan, G.: 990
Rybicki, F.: 991
Rädle, R.: 992
Sabol, V.: 993
Sadana, R.: 994
Sahlemariam Haile, Y.: 995
Saini, V.: 996
Sainitzer, R.: 997
Saito, H.: 998
Saito, T.: 999
Saket, B.: 1000
Sambasivan, R.R.: 1001
Sanchez, A.: 1002
Sansone, S.: 1003
Sansone, S.-A.: 1004
Saraiya, P.: 1005
Sarikaya, A.: 1006
Sarvghad, A.: 1007
Satterthwaite, M: 1008
Satyanarayan, A.: 1009
Sauda, E.: 1010
Sauka, F.: 1011
Scheepens, R.: 1012
Scheidegger, C.: 1013
Scheuermann, G.: 1014
Schloss, K.B.: 1015
Schmalstieg, D.: 1016
Schmauder, H.: 1017
Schmidt, H.: 1018
Schneidewind, J.: 1019
Schreck, T.: 1020
Schreiber, F.: 1021
Schriber, S.: 1022
Schulman, R.: 1023
Schulz, A.: 1024
Schulz, C.: 1025
Schulz, H.: 1026
Schulz, M.: 1027
Schumann, H.: 1028
Schur, A.: 1029
Schwab, M.: 1030
Schweickart, E.: 1031
Sean, J.: 1032
Sedlmair, M.: 1033
Segel, E.: 1034
Seidel, H.-P.: 1035
Seiffert, F.: 1036
Seipel, S.: 1037
Selassie, D.: 1038
Seltzer, M.: 1039
Senn, J.A.: 1040
Seo, J.: 1041
Sering, L.: 1042
Setlur, V.: 1043
Seversky, L.M.: 1044
Shafer, I.: 1045
Shah, P.: 1046
Shanbhag, P.: 1047
Shapiro, D.: 1048
Sheleheda, D.: 1049
Shen, C.: 1050
Shen, H.-W.: 1051
Shen, Q.: 1052
Shi, C.: 1053
Shi, K.: 1054
Shiozawa, H.: 1055
Shneiderman, B.: 1056
Shrestha, S.: 1057
Shu, X.: 1058
Sibert, J.L.: 1059
Sicat, R.: 1060
Sikansi, F.: 1061
Silva, C.: 1062
Silverman, A.T.: 1063
Simonetto, P.: 1064
Sinclair, D.: 1065
Sips, M.: 1066
Six, J.M.: 1067
Skiena, S.: 1068
Skog, T.: 1069
Skupin, A.: 1070
Slack, J.: 1071
Slingsby, A.: 1072
Smith, A.M.: 1073
Smith, G.: 1074
Smith, M.: 1075
So, W.Y.: 1076
Sondag, M.: 1077
Sonenberg, E.A.: 1078
Song, H.: 1079
Song, M.: 1080
Song, Y.: 1081
Sorokin, A.: 1082
Sowizral, H.A.: 1083
Spechtenhauser, F.: 1084
Speckmann, B.: 1085
Spell, R.: 1086
Spence, B.: 1087
Spoerhase, J.: 1088
Sprague, D.W.: 1089
Sprenger, T.C.: 1090
Spring, N.: 1091
Srikumar, V.: 1092
Srinivasan, A.: 1093
Staals, F.: 1094
Stadler, P.F.: 1095
Stahnke, J.: 1096
Stasko, J.: 1097
Stein, C.: 1098
Steinberger, M.: 1099
Stephens, S.A.: 1100
Stitz, H.: 1101
Stoffel, A.: 1102
Stolper, C.D.: 1103
Stolte, C.: 1104
Stone, M.C.: 1105
Storey, M.: 1106
Strasser, T.: 1107
Stray, J.: 1108
Strayer, D.: 1109
Streit, M.: 1110
Strezhnev, A.: 1111
Strobelt, H.: 1112
Stroffolino, P.J.: 1113
Stuckey, P.: 1114
Sturtz, D.: 1115
Stusak, S.: 1116
Su, H.: 1117
Subramanian, K.: 1118
Subramonyam, H.: 1119
Sullivan, T.: 1120
Summers, K.L.: 1121
Summet, J.: 1122
Sun, J.: 1123
Sun, X.: 1124
Sun, Y.: 1125
Sunkavalli, S.: 1126
Swindells, C.: 1127
Swingley, D.: 1128
Syroid, N.: 1129
Tabard, A.: 1130
Taher, F.: 1131
Taimouri, V.: 1132
Takeshima, Y.: 1133
Tal, A.: 1134
Talbot, J.: 1135
Tan, D.S.: 1136
Tan, L.: 1137
Tan, R.: 1138
Tanahashi, Y.: 1139
Tanasse, T.: 1140
Tang, D.: 1141
Tang, T.: 1142
Tanin, E.: 1143
Tate, K.: 1144
Tatu, A.: 1145
Tavanti, M.: 1146
Taylor, H.A.: 1147
Taylor, R.M.: 1148
Telea, A.C.: 1149
Telles, G.P.: 1150
Tenev, T.: 1151
Tennekes, M.: 1152
Teraoka, T.: 1153
Theisel, H.: 1154
Thiagarajan, J.J.: 1155
Thiagarajan, P.R.: 1156
Thom, A.: 1157
Thomas, B.H.: 1158
Thomas, J.: 1159
Thornton, I.M.: 1160
Thudt, A.: 1161
Tissoires, B.: 1162
Tobiasz, M.: 1163
Tollis, I.G.: 1164
Tominski, C.: 1165
Tomitsch, M.: 1166
Tompkin, J.: 1167
Tong, X.: 1168
Torsney-Weir, T.: 1169
Tory, M.: 1170
Trichaud, N.: 1171
Trimm, D.: 1172
Trutschl, M.: 1173
Tsandilas, T.: 1174
Tsang, H.Y.: 1175
Tsigas, P.: 1176
Tu, Y.: 1177
Turkay, C.: 1178
Turner, A.E.: 1179
Tuttle, C.: 1180
Tweedie, L.: 1181
Ulitsky, L.: 1182
Unwin, A.: 1183
Upatising, B.: 1184
Valdez, A.C.: 1185
Van Selow, E.R.: 1186
Van, G.A.: 1187
Vande Moere, A.: 1188
VanderPlas, S.: 1189
Vehlow, C.: 1190
Vendettuoli, M.: 1191
Venolia, G.: 1192
