,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
261,1112,1,6.58163474443373e-10,0.031962118970109504,0.0,5,5,0.2573099415204678,"Strobelt, H.",incoming
114,840,2,6.094360005354816e-10,0.03096330275229358,5.628412224911352e-05,6,5,0.2573099415204678,"North, S.C.",outgoing
149,752,2,6.094360005354816e-10,0.03096330275229358,5.628412224911352e-05,6,5,0.2573099415204678,"Mansmann, F.",outandin
13,258,1,6.970037866686711e-10,0.034166403037013605,0.0006003639706572109,7,5,0.2573099415204678,"Deussen, O.",incoming
75,606,1,1.3260425338643635e-09,0.04954128440366973,0.0020825125232172004,16,5,0.2573099415204678,"Keim, D.A.",
147,1304,2,0.03713717332506221,0.05960200327970571,0.0,1,6,0.22333333333333333,"Yost, B.",outandin
18,646,2,0.05769513353613603,0.060301147013191995,0.0,2,6,0.22333333333333333,"Koren, Y.",outgoing
86,1005,2,0.042883929605325354,0.059775264917146714,0.0,2,6,0.22333333333333333,"Saraiya, P.",outgoing
87,681,2,0.042883929605325354,0.059775264917146714,0.0,2,6,0.22333333333333333,"Lee, P.",outandin
134,237,2,0.10577245180803928,0.07042017510787148,0.0,4,6,0.22333333333333333,"Czerwinski, M.",incoming
138,787,2,0.10577245180803928,0.07042017510787148,0.0,4,6,0.22333333333333333,"Meyers, B.R.",outandin
246,331,2,0.17730639641878232,0.07939262985134543,0.0,4,6,0.22333333333333333,"Fernandez, R.",incoming
315,1041,2,0.08722568670726485,0.06676198419317685,0.0,4,6,0.22333333333333333,"Seo, J.",
316,617,2,0.08722568670726485,0.06676198419317685,0.0,4,6,0.22333333333333333,"Kim, B.",incoming
317,508,3,0.08722568670726485,0.06676198419317685,0.0,4,6,0.22333333333333333,"Hoffman, E.",outandin
318,633,2,0.08722568670726485,0.06676198419317685,0.0,4,6,0.22333333333333333,"Knoblach, S.",outandin
136,1074,3,0.1517678121469417,0.07164700742682394,6.253791361012614e-05,5,6,0.22333333333333333,"Smith, G.",incoming
137,1136,2,0.1517678121469417,0.07164700742682394,6.253791361012614e-05,5,6,0.22333333333333333,"Tan, D.S.",outandin
238,1021,2,0.09648365201382482,0.06083636429437417,0.0,5,6,0.22333333333333333,"Schreiber, F.",outandin
239,1114,2,0.09648365201382482,0.06083636429437417,0.0,5,6,0.22333333333333333,"Stuckey, P.",outandin
240,1272,2,0.09648365201382482,0.06083636429437417,0.0,5,6,0.22333333333333333,"Woodward, M.",outandin
241,1282,1,0.09648365201382482,0.06083636429437417,0.0,5,6,0.22333333333333333,"Wybrow, M.",incoming
143,755,1,0.1033015667645858,0.061016887630559256,3.752274816607568e-05,6,6,0.22333333333333333,"Marriott, K.",incoming
310,929,2,0.2626042881499048,0.07701382446254107,0.0,6,6,0.22333333333333333,"Quinn, K.I.",outandin
188,544,1,0.2739156819367064,0.08001047132878782,0.013508189339787246,8,6,0.22333333333333333,"Isenberg, P.",incoming
245,340,1,0.31212626244833236,0.0871300471673664,0.004458953240401993,8,6,0.22333333333333333,"Fisher, D.",
85,839,2,0.277128148030372,0.07788898155870633,0.004483968405846044,9,6,0.22333333333333333,"North, C.",outgoing
17,298,1,0.3272359269723635,0.07878425720880639,0.00859270933003133,12,6,0.22333333333333333,"Dwyer, T.",incoming
135,962,3,0.37999603504696733,0.09608734173597415,0.029230220821372947,13,6,0.22333333333333333,"Robertson, G.",outandin
